Variable,N,Mean,SD,P25,Median,P75
Analyst covered,21679,0.240,0.427,0.000,0.000,0.000
Number of analysts,5213,4.996,4.670,1.000,3.000,8.000
ROA,21520,-0.372,1.190,-0.293,-0.046,0.041
Leverage,21443,0.217,0.429,0.000,0.075,0.285
Log assets,21526,10.568,2.621,8.767,10.295,12.235
Revenue growth,15558,1.199,6.804,-0.142,0.047,0.318
Broad stress t+1,19344,0.635,0.481,0.000,1.000,1.000
Strict accounting stress t+1,19322,0.408,0.491,0.000,0.000,1.000
Persistent broad stress t+1/t+2,16984,0.575,0.494,0.000,1.000,1.000
Altman distress-zone t+1,3731,0.434,0.496,0.000,0.000,1.000
Broad event candidate t+1,21679,0.186,0.389,0.000,0.000,0.000
