specification,target,analyst_var,n,firms,events,event_rate,auc,brier,fixed_effects,controls,error,coef,cluster_se,z,p_value,odds_ratio,ame
Main strict accounting stress,strict_accounting_stress_12m_candidate,analyst_covered,19322,2322,7874,0.4075147500258772,0.7100263538839446,0.21060806437534646,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.34169365441587246,0.07293338201944871,-4.685010415734664,2.7994569598395146e-06,0.71056585008053,-0.07212034101816353
Main without analyst,strict_accounting_stress_12m_candidate,none,19322,2322,7874,0.4075147500258772,0.710107986603115,0.21106372868133444,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,,,,,,
ASX split,strict_accounting_stress_12m_candidate,analyst_covered,13936,1678,6017,0.43175947187141217,0.6949995910689801,0.21735602604475382,fiscal_year,"roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.25083853068107764,0.08555622094900545,-2.9318561280375666,0.0033694280084867827,0.7781480084443775,-0.05488794229212151
Singapore split,strict_accounting_stress_12m_candidate,analyst_covered,5386,644,1857,0.3447827701448199,0.8035354573452704,0.16935053536446634,fiscal_year,"roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.7088654441407213,0.14659878985381766,-4.8354112939647935,1.3287061745431116e-06,0.4922023118119605,-0.12075604672934052
Onset sample excluding current strict stress,strict_accounting_stress_12m_candidate,analyst_covered,11744,2029,1717,0.14620231607629428,0.6678417021856944,0.11962114631593504,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.15578163900576758,0.08811793095803369,-1.7678767228426964,0.07708151498601713,0.8557460315251203,-0.01813281200926557
Drop suspect structure names,strict_accounting_stress_12m_candidate,analyst_covered,18760,2252,7821,0.41689765458422173,0.702030335980284,0.21394269647714173,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.33164770990269987,0.0742229014800706,-4.46826657661382,7.885599815516281e-06,0.7177401310615226,-0.07112885700980943
Operating-status rows only,strict_accounting_stress_12m_candidate,analyst_covered,19003,2279,7666,0.4034099878966479,0.7086768892153283,0.21037155046557818,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.3556391992558619,0.07408463287389061,-4.800444916305964,1.5831351721503696e-06,0.7007253968761396,-0.07488593117165944
COVID outcome-year exclusion,strict_accounting_stress_12m_candidate,analyst_covered,15291,2322,6026,0.39408802563599504,0.7107768835495906,0.2085834314530777,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.3387638273889452,0.07509179102244569,-4.511329704303967,6.442249347599869e-06,0.7126507378013339,-0.0705620294239928
Analyst intensity log1p count,strict_accounting_stress_12m_candidate,log1p_num_analysts,19322,2322,7874,0.4075147500258772,0.7116783445219581,0.20935033953968632,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.46275359505337665,0.05211023976582068,-8.880281440518312,6.669140830226909e-19,0.6295477370746626,-0.1239595802816303
Broad stress appendix label,broad_stress_12m_appendix,analyst_covered,19344,2322,12285,0.6350806451612904,0.8844564013426458,0.13254932852974274,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.571184719687945,0.07837476369184006,-7.287865287017301,3.14904602619946e-13,0.5648558462962453,-0.08773520927378621
Persistent broad stress label,persistent_broad_stress_24m_candidate,analyst_covered,16984,2278,9772,0.5753650494583137,0.8732849044175022,0.1427926897189907,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.621519523769828,0.08462941165839767,-7.344013287940132,2.072825314774674e-13,0.5371276389645319,-0.10099661370621506
Altman distress robustness label,altman_distress_12m_candidate,analyst_covered,3459,618,1418,0.4099450708297196,0.7181329984955797,0.2093775122942854,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.34219956262062334,0.20213502912921416,-1.6929255859056145,0.09046963246810832,0.7102064599038432,-0.0715213952541873
Broad event candidate label,event_distress_12m_candidate,analyst_covered,19353,2322,4026,0.2080297628274686,0.7514874445483881,0.14381574344577291,"market, fiscal_year","roa_w, leverage_w, log_assets_w, revenue_growth_w",,-0.7503669255946979,0.09536528166971912,-7.868344878311813,3.5936377856939524e-15,0.4721932611572378,-0.09816147950758332
